id,estimateId,pathogen,serotype,country,countryAlphaTwoCode,countryAlphaThreeCode,sampleStartDate,sampleEndDate,seroprevalence,city,state,latitude,longitude,unRegion,whoRegion,seroprevalenceStudy95CILower,seroprevalenceStudy95CIUpper,seroprevalenceCalculated95CILower,seroprevalenceCalculated95CIUpper,sampleSize,sampleNumerator,sampleFrame,antibodies,assay,assayOther,sameFrameTargetGroup,antigen,inclusionCriteria,ageGroup,ageMinimum,ageMaximum,pediatricAgeGroup,sex,url,sourceSheetId,sourceSheetName,createdAt,producer,producerOther
66c79a909f0787fb1e455d38,160930_King_Institute_Guindy_Kaveria_DENV_2014_12,DENV,"['DENV-1', 'DENV-2', 'DENV-3', 'DENV-4']",India,IN,IND,2014-12-15 07:00:00+00:00,2015-01-15 07:00:00+00:00,0.1408,Chennai,Tamil Nādu,13.072382878919615,80.1712630243486,SOUTHERN_ASIA,SEAR,,,0.1196335599,0.1641825278,980,138.0,Inpatients,"['IgM', 'IgG']",ELISA,,,DENV-1-4,"Patients in Chennai Hospital. All samples selected for the study were from suspected
dengue cases.",Multiple groups,,,,All,https://link.springer.com/article/10.1007/s00705-016-3040-3,recNcHuGtm9fBrZq7,Dengue scenario: Chennai perspective—a six-year study,2024-08-22 20:07:44.559000+00:00,Panbio,
66c79a909f0787fb1e455d37,210913_Mahidol University_Thailand_nAG_ZIKV,ZIKV,,Thailand,TH,THA,2019-05-15 06:00:00+00:00,2019-10-15 06:00:00+00:00,0.3981,Bangkok,Krung Thep Maha Nakhon,13.693077724459297,100.46023298914005,SOUTH_EASTERN_ASIA,SEAR,,,0.3602246268,0.4370038651,648,258.0,Pregnant or parturient women,['NAb'],FRNT,,Pregnant women,,Pregnant women,Adults (18-64 years),18.0,45.0,,Female,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8437263/,recPBPxqbRmnCPUMj,Seroprevalence of Zika virus in pregnant women from central Thailand,2024-08-22 20:07:44.559000+00:00,,
66c79a909f0787fb1e455d39,761101_MiamiSchoolOfMed_Ehrenkranz_DENV_age01,DENV,,Haiti,HT,HTI,1969-10-15 07:00:00+00:00,1971-02-15 07:00:00+00:00,0.43,Port-au-Prince,Ouest,18.581783685364687,-72.39589824100405,CARIBBEAN,AMR,,,0.2446239363,0.6282063714,28,12.0,Community,['NAb'],HAI,,,Anti-DENV,,Children and Youth (0-17 years),1.0,5.0,0-4 years,All,https://academic.oup.com/jid/article-abstract/134/5/436/898004?redirectedFrom=fulltext,rec5wHIgIXuHvodhI,Endemic Dengue Virus Infection in Hispaniola. I. Haiti,2024-08-22 20:07:44.559000+00:00,,
66c79a909f0787fb1e455d3e,200714_UnivDschang_Kuiate_DENV_IgGM_M,DENV,,Cameroon,CM,CMR,2019-03-15 06:00:00+00:00,2019-08-15 06:00:00+00:00,0.0211,Yaoundé,Centre,3.942311264233044,11.470584467703496,MIDDLE_AFRICA,AFR,,,0.00779167995,0.04541453008,284,6.0,Blood donors,"['IgG', 'IgM']",ELISA,,voluntary donors,,"potential donors negative to systematic infectious markers such as hepatitis B surface antigen, anti-hepatitis C virus, human immunodeficiency virus and anti-treponema pallidum antibodies",Adults (18-64 years),,,,Male,https://www.panafrican-med-journal.com/content/article/36/185/full/,reclmNvMtAkwKmq9g,Dengue virus serological markers among potential blood donors: an evidence of asymptomatic dengue virus transmission in Cameroon,2024-08-22 20:07:44.559000+00:00,Other,"Zhuhai Encode Medical Engineering Co.,Ltd"
66c79a909f0787fb1e455d3c,980915_InstPasteur_Sarthou_MAYV_Caucasian,MAYV,,French Guiana,GF,GUF,1996-02-28 07:00:00+00:00,1996-03-10 07:00:00+00:00,0.007,Cayenne,,4.955386263190457,-52.266294265167765,SOUTH_AMERICA,AMR,,,0.00086005513,0.02538322531,282,2.0,Community,['NAb'],HAI,,Caucasian,,Caucasian,,,,,All,https://www.ajtmh.org/view/journals/tpmd/59/3/article-p452.xml,recjZ6dgTNcb27y4K,Mayaro virus fever in French Guiana: isolation identification and seroprevalence,2024-08-22 20:07:44.559000+00:00,,
66c79a909f0787fb1e455d40,190331_CDCP_Hunsperger_DENV_PRNT,DENV,,Saint Kitts and Nevis,KN,KNA,2009-06-15 06:00:00+00:00,2009-09-15 06:00:00+00:00,0.09300000000000001,Basseterre,Saint George Basseterre,17.277543415660247,-62.82019981391748,CARIBBEAN,AMR,,,0.04745897855,0.1606763757,118,11.0,Community,['NAb'],PRNT,,,Anti-DENV specific,,Adults (18-64 years),21.0,71.0,,All,https://jidc.org/index.php/journal/article/view/32040453/2027,recOnTdjBxqlvNcle,Dengue in the campus community of an overseas American university: A cross-sectional study,2024-08-22 20:07:44.559000+00:00,,
66c79a909f0787fb1e455d41,180727_University of Khartoum_Al Rahad_DENV,DENV,['NS1'],Sudan,SD,SDN,2016-08-15 06:00:00+00:00,2017-05-15 06:00:00+00:00,0.58,Al Rahad,North Kordofan,12.636454373046085,30.58000176010896,NORTHERN_AFRICA,EMR,,,0.4616616332,0.7022790388,70,41.0,Community,['IgG'],ELISA,,,non structural protein 1 (NS1) ,"We included in the study any individual aged ≥5 years old. The participants were members of a randomly selected household and residents in Elgadarif State, with or without symptoms.",Multiple groups,5.0,,,All,http://dx.doi.org/10.1186/s12889-018-5853-3,recA2IfqNq5xVDb7a,"Prevalence of dengue fever virus antibodies and associated risk factors among residents of El-Gadarif state, Sudan",2024-08-22 20:07:44.559000+00:00,Euroimmun ,
66c79a909f0787fb1e455d44,021201_NIV_AN_Islands_age03_DENV,DENV,,India,IN,IND,1988-12-15 07:00:00+00:00,1989-01-15 07:00:00+00:00,0.2682,,Andaman and Nicobar Islands,11.734370709184507,92.80430936518756,SOUTHERN_ASIA,SEAR,,,0.204809221,0.3393536119,179,48.0,Community,['NAb'],Other,Hemaglutination inhibition and neutralisation assay in mice,,Neutralisation antibodies (Hemaglutination inhibition Antibodies),randomly collected from inhabitants staying on the islands for >= 5 years,Adults (18-64 years),20.0,29.0,,All,https://www.thaiscience.info/Journals/Article/TMPH/10584468.pdf,reckNya0GK6eQpVuK,A serological survey of arboviral diseases among the human population of the Andaman and Nicobar Islands India,2024-08-22 20:07:44.559000+00:00,,
66c79a909f0787fb1e455d48,190511_NagasakiUniv_Moi_ZIKV_age04,ZIKV,,Viet Nam,VN,VNM,2017-01-15 07:00:00+00:00,2018-06-15 06:00:00+00:00,0.142,Dak Lak Province,Dak Lak,12.435038150279485,108.17848019420227,SOUTH_EASTERN_ASIA,WPR,,,0.08621496687,0.2147197514,127,18.0,Community,['IgM'],ELISA,,,,,Adults (18-64 years),46.0,60.0,,All,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-020-05042-2,recOYiMkdNJeQEKzE,Prevalence of Zika virus neutralizing antibodies in healthy adults in Vietnam during and after the Zika virus epidemic season: a longitudinal population-based survey,2024-08-22 20:07:44.559000+00:00,Other,R&D Systems
66c79a909f0787fb1e455d49,190103_USAMRIID_Mbarara_CHIKV,CHIKV,,Uganda,UG,UGA,2006-06-15 06:00:00+00:00,2007-06-15 06:00:00+00:00,0.13699999999999998,,Mbarara,-0.6206507991379716,30.647745698795287,EASTERN_AFRICA,AFR,,,0.1028793243,0.1776892802,350,48.0,Outpatients,['IgG'],ELISA,,,ELISA antigens,Human blood samples were taken from healthy Ugandan blood bank donors during the course of the Walter Reed Army Institute of Research (WRAIR) study RV-164  that spanned from 2006 to 2007. The samples were collected from 5 regions distributed throughout Uganda ,,,,,,https://doi.org/10.1093/ofid/ofz001,recL91Gh2ybYOGali,Chikungunya and O’nyong-nyong Viruses in Uganda: Implications for Diagnostics ,2024-08-22 20:07:44.559000+00:00,,
